Country,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Cluster 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29,Cluster 30
Brunei,6.441353014,6.465368722,6.467698741,6.467924801,6.467946734,6.467948862,6.467949068,6.467949088,6.46794909,6.46794909,6.46794909,6.46794909,6.46794909,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi
Cambodia,3.997537155,3.995389863,3.995434513,3.995433584,3.995433604,3.995433603,3.995433603,3.995433603,3.995433603,3.995433603,3.995433603,3.995433603,3.995433603,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah
Indonesia,5.236234628,5.239172708,5.242110788,5.245048869,5.247986949,5.250925029,5.253863109,5.256801189,5.259739269,5.262677349,5.26561543,5.26855351,5.27149159,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang
Laos,4.98981143,4.983268303,4.976725175,4.970182048,4.96363892,4.957095793,4.950552665,4.944009538,4.93746641,4.930923282,4.924380155,4.917837027,4.9112939,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang
Malaysia,5.338125877,5.331520979,5.330503295,5.33034649,5.330322329,5.330318607,5.330318033,5.330317945,5.330317931,5.330317929,5.330317929,5.330317929,5.330317929,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang
Myanmar,4.502717526,4.499577998,4.49643847,4.493298941,4.490159413,4.487019885,4.483880356,4.480740828,4.4776013,4.474461771,4.471322243,4.468182715,4.465043186,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah,rendah
Philippines,4.865936264,4.875757522,4.88557878,4.895400038,4.905221296,4.915042554,4.924863812,4.93468507,4.944506328,4.954327586,4.964148844,4.973970102,4.98379136,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang
Singapore,6.431210757,6.436658817,6.442106878,6.447554939,6.453002999,6.45845106,6.463899121,6.469347181,6.474795242,6.480243303,6.485691363,6.491139424,6.496587485,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi
Thailand,6.331112098,6.324221654,6.31733121,6.310440766,6.303550322,6.296659878,6.289769434,6.28287899,6.275988546,6.269098102,6.262207657,6.255317213,6.248426769,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi,tinggi
Timor Leste,5.050681214,5.067673279,5.084665344,5.10165741,5.118649475,5.13564154,5.152633606,5.169625671,5.186617736,5.203609802,5.220601867,5.237593932,5.254585998,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang
Vietnam,5.338125877,5.331520979,5.330503295,5.33034649,5.330322329,5.330318607,5.330318033,5.330317945,5.330317931,5.330317929,5.330317929,5.330317929,5.330317929,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang,sedang
